ds,y
2020-03-10,5.664625151
2020-03-11,5.481281548
2020-03-12,5.671976498
2020-03-13,5.188018593
2020-03-14,5.609863758
2020-03-15,4.907574806
2020-03-16,5.437139336
2020-03-17,5.298284266
2020-03-18,5.412603871
2020-03-19,5.674703941
2020-03-20,6.233395622
2020-03-21,5.964008868
2020-03-22,6.223849962
2020-03-23,6.179556586
2020-03-24,5.921670524
2020-03-25,6.277405791
2020-03-26,5.871568903
2020-03-27,5.816199182
2020-03-28,6.43853443
2020-03-29,5.90074056
2020-03-30,6.213554554
2020-03-31,5.561818866
2020-04-01,6.015062568
2020-04-02,6.245567733
2020-04-03,5.617964732
2020-04-04,6.047722333
2020-04-05,5.328600654
2020-04-06,5.984050593
2020-04-07,5.718670217
2020-04-08,6.168549778
2020-04-09,6.419179952
2020-04-10,6.770455873
2020-04-11,6.460004712
2020-04-12,5.973167431
2020-04-13,5.589806569
2020-04-14,5.966559897
2020-04-15,6.50841071
2020-04-16,5.914158993
2020-04-17,6.137185499
2020-04-18,6.701932741
2020-04-19,6.481133865
2020-04-20,6.502357716
2020-04-21,7.223705866
2020-04-22,6.832373048
2020-04-23,6.946346894
2020-04-24,6.239278536
2020-04-25,7.064640345
2020-04-26,6.695172714
2020-04-27,5.680079038
2020-04-28,6.412772263
2020-04-29,5.811691619
2020-04-30,6.18833241
2020-05-01,5.280124523
2020-05-02,6.278287558
2020-05-03,6.708512399
2020-05-04,6.524116876
2020-05-05,6.378960244
2020-05-06,6.434691767
2020-05-07,6.47520127
2020-05-08,7.384317349
2020-05-09,7.651861894
2020-05-10,8.701207113
2020-05-11,7.591809144
2020-05-12,8.133817813
2020-05-13,7.353039585
2020-05-14,7.544987314
2020-05-15,7.065749819
2020-05-16,7.550080449
2020-05-17,7.568530826
2020-05-18,6.781578804
2020-05-19,6.518598196
2020-05-20,6.365795463
2020-05-21,6.779827762
2020-05-22,6.517114237
2020-05-23,6.705527436
2020-05-24,7.092380299
2020-05-25,7.058309661
2020-05-26,6.544608743
2020-05-27,7.42956329
2020-05-28,7.721857658
2020-05-29,6.502133156
2020-05-30,7.391609269
2020-05-31,6.989221405
2020-06-01,7.45339929
2020-06-02,7.591757865
2020-06-03,7.766084958
2020-06-04,8.361602643
2020-06-05,8.037333381
2020-06-06,8.959983524
2020-06-07,9.15113802
2020-06-08,8.905577837
2020-06-09,9.415349311
2020-06-10,9.724684431
2020-06-11,10.09011507
2020-06-12,10.25465961
2020-06-13,9.549328447
2020-06-14,10.08531775
2020-06-15,10.86821621
2020-06-16,10.43282617
2020-06-17,11.15156592
2020-06-18,10.64484963
2020-06-19,10.96487737
2020-06-20,11.68964623
2020-06-21,10.89802648
2020-06-22,11.15595137
2020-06-23,11.12450766
2020-06-24,11.45453995
2020-06-25,10.88066325
2020-06-26,11.39306098
2020-06-27,11.55030041
2020-06-28,11.35877212
2020-06-29,11.40012934
2020-06-30,10.80415319
2020-07-01,10.95113957
2020-07-02,10.00965452
2020-07-03,10.63852616
2020-07-04,10.11305364
2020-07-05,10.0095536
2020-07-06,10.2115207
2020-07-07,10.17354697
2020-07-08,9.849481019
2020-07-09,10.24676663
2020-07-10,9.835264689
2020-07-11,10.49314322
2020-07-12,9.603350087
2020-07-13,9.24876006
2020-07-14,9.401037919
2020-07-15,9.939871378
2020-07-16,10.13535112
2020-07-17,9.647129671
2020-07-18,10.78557055
2020-07-19,9.760365268
2020-07-20,10.3869437
2020-07-21,10.4788635
2020-07-22,10.57752336
2020-07-23,10.47291662
2020-07-24,10.40893697
2020-07-25,9.654938495
2020-07-26,9.834805834
2020-07-27,9.425696511
2020-07-28,9.55456512
2020-07-29,10.10855667
2020-07-30,9.526518729
2020-07-31,10.03160103
2020-08-01,9.68084097
2020-08-02,9.70637883
2020-08-03,8.587347032
2020-08-04,9.048395345
2020-08-05,8.263694395
2020-08-06,9.0399819
2020-08-07,9.163766036
2020-08-08,9.518616967
2020-08-09,8.592423729
2020-08-10,8.600153773
2020-08-11,8.899976886
2020-08-12,9.491880902
2020-08-13,9.119437222
2020-08-14,10.17182049
2020-08-15,10.15898941
2020-08-16,10.88522035
2020-08-17,10.05228172
2020-08-18,10.22987502
2020-08-19,9.841212706
2020-08-20,10.49074993
2020-08-21,10.19191851
2020-08-22,10.01436423
2020-08-23,9.99085923
2020-08-24,10.02681131
2020-08-25,9.525744753
2020-08-26,9.765642634
2020-08-27,9.555497572
2020-08-28,9.11228015
2020-08-29,8.759691125
2020-08-30,9.249328093
2020-08-31,8.77552317
2020-09-01,9.854105527
2020-09-02,10.25335772
2020-09-03,9.9843748
2020-09-04,11.06398076
2020-09-05,10.71010619
2020-09-06,11.25761409
2020-09-07,10.60928267
2020-09-08,11.32932884
2020-09-09,11.16053242
2020-09-10,11.33996004
2020-09-11,11.54239828
2020-09-12,11.79270684
2020-09-13,11.70526835
2020-09-14,11.89753587
2020-09-15,11.78967252
2020-09-16,11.61994787
2020-09-17,11.96826033
2020-09-18,12.28792621
2020-09-19,12.43813368
2020-09-20,11.99189083
2020-09-21,11.85068671
2020-09-22,12.26622586
2020-09-23,11.15803183
2020-09-24,12.11997933
2020-09-25,11.76873233
2020-09-26,11.12803578
2020-09-27,10.86603266
2020-09-28,10.23757712
2020-09-29,10.14320748
2020-09-30,10.46689075
2020-10-01,10.69625935
2020-10-02,10.45534182
2020-10-03,10.83652579
2020-10-04,10.71043553
2020-10-05,11.51680064
2020-10-06,11.29962526
2020-10-07,12.04357266
2020-10-08,12.37934218
2020-10-09,12.06734366
2020-10-10,11.21216257
2020-10-11,10.75617064
2020-10-12,10.85446209
2020-10-13,10.62193078
2020-10-14,10.39052456
2020-10-15,11.32402028
2020-10-16,11.23435857
2020-10-17,10.63505592
2020-10-18,11.86507245
2020-10-19,11.64172029
2020-10-20,12.27268843
2020-10-21,12.12051353
2020-10-22,12.51634578
2020-10-23,11.95056055
2020-10-24,12.22118708
2020-10-25,12.27182008
2020-10-26,12.28144634
2020-10-27,12.05270478
2020-10-28,12.42338133
2020-10-29,11.85932698
2020-10-30,11.73912658
2020-10-31,11.92291
2020-11-01,12.157616
2020-11-02,11.79346872
2020-11-03,11.9430778
2020-11-04,11.36953639
2020-11-05,11.64293102
2020-11-06,10.89965094
2020-11-07,11.51358095
2020-11-08,10.95912682
2020-11-09,10.31231737
2020-11-10,10.77773788
2020-11-11,11.03581856
2020-11-12,11.04543669
2020-11-13,11.63735871
2020-11-14,11.84817774
2020-11-15,11.30317125
2020-11-16,10.85196452
2020-11-17,11.58185214
2020-11-18,10.9251649
2020-11-19,11.58242318
2020-11-20,11.714175
2020-11-21,11.85870991
2020-11-22,12.4743538
2020-11-23,13.28181359
2020-11-24,12.38885091
2020-11-25,12.69666202
2020-11-26,12.75891555
2020-11-27,12.79436534
2020-11-28,13.03626492
2020-11-29,12.61389051
2020-11-30,13.20618288
2020-12-01,11.33646421
2020-12-02,12.33494046
2020-12-03,12.2952658
2020-12-04,12.27980845
2020-12-05,12.42600982
2020-12-06,12.25776278
2020-12-07,11.87191996
2020-12-08,12.67618483
2020-12-09,12.1142837
2020-12-10,11.96338146
2020-12-11,12.44743229
2020-12-12,12.72511952
2020-12-13,12.5116333
2020-12-14,12.17234837
2020-12-15,11.97771742
2020-12-16,12.23245368
2020-12-17,12.37410985
2020-12-18,12.98195912
2020-12-19,12.49576931
2020-12-20,13.41855217
2020-12-21,12.310697
2020-12-22,11.70179391
2020-12-23,12.4746098
2020-12-24,12.30447328
2020-12-25,11.91232484
2020-12-26,12.06182155
2020-12-27,11.82917264
2020-12-28,11.82716412
2020-12-29,12.1895535
2020-12-30,11.78537286
2020-12-31,11.63884845
2021-01-01,11.63896413
2021-01-02,11.88642246
2021-01-03,11.85488462
2021-01-04,11.84609015
2021-01-05,11.74862167
2021-01-06,11.87811409
2021-01-07,12.20198435
2021-01-08,11.45912015
2021-01-09,12.34953765
2021-01-10,11.87079189
2021-01-11,12.42081087
2021-01-12,12.85218592
2021-01-13,12.79460121
2021-01-14,13.62608898
2021-01-15,13.22768706
2021-01-16,13.67048893
2021-01-17,13.02040072
2021-01-18,14.02855963
2021-01-19,13.70373558
2021-01-20,13.14141166
2021-01-21,14.58439135
2021-01-22,12.99860149
2021-01-23,13.94233027
2021-01-24,13.35883336
2021-01-25,13.14583676
2021-01-26,13.14194539
2021-01-27,13.78288481
2021-01-28,13.2471014
2021-01-29,12.91791795
2021-01-30,13.08170823
2021-01-31,12.56804083
2021-02-01,12.74694261
2021-02-02,12.35284367
2021-02-03,12.98090483
2021-02-04,12.90913353
2021-02-05,12.5920623
2021-02-06,12.53504785
2021-02-07,12.85674512
2021-02-08,12.26760949
2021-02-09,11.98661548
2021-02-10,12.52412042
2021-02-11,12.66745399
2021-02-12,12.25648214
2021-02-13,11.91079143
2021-02-14,11.78397433
2021-02-15,11.92127457
2021-02-16,12.158925
2021-02-17,11.81057468
2021-02-18,11.88975226
2021-02-19,11.69825461
2021-02-20,12.17167502
2021-02-21,11.82052751
2021-02-22,11.15347885
2021-02-23,11.23717709
2021-02-24,11.15107411
2021-02-25,11.08064513
2021-02-26,11.64138463
2021-02-27,11.64244469
2021-02-28,11.37726013
2021-03-01,12.70618117
2021-03-02,12.65099724
2021-03-03,12.6903084
2021-03-04,13.02786915
2021-03-05,12.80178234
2021-03-06,13.42265358
2021-03-07,12.80727665
2021-03-08,12.80567703
2021-03-09,11.92365881
2021-03-10,12.49031206
2021-03-11,12.71389921
2021-03-12,12.53482273
2021-03-13,13.43723176
2021-03-14,13.63800734
2021-03-15,12.95851121
2021-03-16,13.00209354
2021-03-17,12.19453438
2021-03-18,12.65658197
2021-03-19,12.26725363
2021-03-20,12.46538558
2021-03-21,11.52944628
2021-03-22,11.91740943
2021-03-23,11.38219886
2021-03-24,11.26626767
2021-03-25,11.76828749
2021-03-26,11.87538744
2021-03-27,12.58730685
2021-03-28,12.39629138
2021-03-29,12.80282887
2021-03-30,12.24385654
2021-03-31,12.67030902
2021-04-01,13.31219796
2021-04-02,13.31603826
2021-04-03,13.04627103
2021-04-04,12.75132567
2021-04-05,12.78686786
2021-04-06,13.44438984
2021-04-07,13.73178244
2021-04-08,13.10876341
2021-04-09,14.05092571
2021-04-10,13.78269338
2021-04-11,14.17450212
2021-04-12,14.56967641
2021-04-13,13.67098592
2021-04-14,13.98910617
2021-04-15,14.24029335
2021-04-16,13.93475205
2021-04-17,14.02469716
2021-04-18,14.41839801
2021-04-19,13.5356501
2021-04-20,13.66849178
2021-04-21,13.60088212
2021-04-22,13.93891958
2021-04-23,14.05218356
2021-04-24,13.52047837
2021-04-25,13.08264299
2021-04-26,13.50488575
2021-04-27,13.68482591
2021-04-28,13.15290319
2021-04-29,13.31029028
2021-04-30,12.66560082
2021-05-01,13.66065769
2021-05-02,13.22188221
2021-05-03,13.66726695
2021-05-04,13.90272062
2021-05-05,13.08160973
2021-05-06,14.04196943
2021-05-07,14.31322806
2021-05-08,15.11370708
2021-05-09,14.55937527
2021-05-10,14.47191087
2021-05-11,14.00773834
2021-05-12,14.38743999
2021-05-13,14.48840167
2021-05-14,14.65165077
2021-05-15,14.51457225
2021-05-16,14.92224878
2021-05-17,14.19465212
2021-05-18,14.1137927
2021-05-19,13.64436482
2021-05-20,14.57006597
2021-05-21,13.70952729
2021-05-22,14.0105535
2021-05-23,14.42484355
2021-05-24,13.71071969
2021-05-25,13.30590294
2021-05-26,13.70184262
2021-05-27,13.4939323
2021-05-28,13.60321536
2021-05-29,12.709116
2021-05-30,12.56578173
2021-05-31,12.29204511
2021-06-01,12.49372294
2021-06-02,12.22476014
2021-06-03,12.37883736
2021-06-04,11.86318822
2021-06-05,11.95917661
2021-06-06,11.6136404
2021-06-07,10.92231613
2021-06-08,10.69381706
2021-06-09,9.796640702
2021-06-10,10.02455082
2021-06-11,10.25129418
2021-06-12,10.16837721
2021-06-13,10.12922394
2021-06-14,10.03817646
2021-06-15,9.946258256
2021-06-16,9.819163247
2021-06-17,10.96613807
2021-06-18,10.27845019
2021-06-19,10.87216455
2021-06-20,10.58298221
2021-06-21,10.5051701
2021-06-22,10.58489695
2021-06-23,10.31046583
2021-06-24,10.18655992
2021-06-25,10.63566981
2021-06-26,10.58623485
2021-06-27,10.49470146
2021-06-28,10.53012782
2021-06-29,11.6697284
2021-06-30,10.93910566
2021-07-01,11.25043349
2021-07-02,11.10082439
2021-07-03,11.56193798
2021-07-04,12.00135944
2021-07-05,11.9636437
2021-07-06,12.67651716
2021-07-07,12.59589118
2021-07-08,13.50372538
2021-07-09,12.52480966
2021-07-10,13.58617103
2021-07-11,13.65152094
2021-07-12,13.50747349
2021-07-13,13.6003226
2021-07-14,12.91172575
2021-07-15,13.12942153
2021-07-16,12.88747154
2021-07-17,12.57004373
2021-07-18,12.38921609
2021-07-19,12.52303613
2021-07-20,12.78698765
2021-07-21,12.90053284
2021-07-22,13.72420584
2021-07-23,13.53927692
2021-07-24,12.96144201
2021-07-25,12.60190222
2021-07-26,13.19403382
2021-07-27,13.02494603
2021-07-28,11.95978435
2021-07-29,13.04856333
2021-07-30,12.09273847
2021-07-31,12.74880565
2021-08-01,12.15194817
2021-08-02,13.68801758
2021-08-03,12.68174728
2021-08-04,13.25007071
2021-08-05,12.52233421
2021-08-06,12.87797176
2021-08-07,12.74760906
2021-08-08,13.95946905
2021-08-09,12.95734948
2021-08-10,14.3575701
2021-08-11,14.31367533
2021-08-12,14.4417502
2021-08-13,14.89664447
2021-08-14,15.49596954
2021-08-15,15.12120536
2021-08-16,15.81472479
2021-08-17,14.95180243
2021-08-18,15.69224206
2021-08-19,15.32256273
2021-08-20,15.48148898
2021-08-21,15.0779299
2021-08-22,15.26982882
2021-08-23,15.56393486
2021-08-24,15.70968355
2021-08-25,16.27057613
2021-08-26,15.86464801
2021-08-27,16.79198088
2021-08-28,16.44669768
2021-08-29,15.57683314
2021-08-30,16.51737488
2021-08-31,16.79290034
2021-09-01,16.69296483
2021-09-02,17.15234138
2021-09-03,17.90318899
2021-09-04,17.47106673
2021-09-05,17.14585013
2021-09-06,17.94883403
2021-09-07,18.15476909
2021-09-08,17.76881703
2021-09-09,17.25084632
2021-09-10,17.95227784
2021-09-11,17.25593422
2021-09-12,17.58362651
2021-09-13,16.82175807
2021-09-14,17.45905614
2021-09-15,16.76127825
2021-09-16,16.93155866
2021-09-17,17.49066618
2021-09-18,16.80363798
2021-09-19,16.1948135
2021-09-20,16.6207985
